text,label
The mobile app keeps timing out; no clear guidance from support.,negative
Support didn't respond and nothing changed.,negative
Still crashing and I am losing patience.,negative
Support line is busy and no one is helping.,negative
Really satisfied with the service this week.,positive
"This is frustrating: I tried reinstalling, still broken.",negative
Support fixed my issue in one call.,positive
"Can't reset password, link not working.",negative
"This is unacceptable: I tried reinstalling, still broken.",negative
Getting payment declines since this morning; what's going on?.,negative
Customer service was helpful and polite.,positive
Really impressed with the the mobile app experience.,positive
Support handled my issue straight away.,positive
Had a great experience with customer support today.,positive
Smooth experience at the branch today.,positive
Support handled my issue quickly.,positive
App is pleasant and responsive lately.,positive
Support handled my issue straight away.,positive
Really pleased with the online banking experience.,positive
Bill payment keeps timing out; making payments impossible.,negative
Bill payment was successful on the first try.,positive
card payments worked instantly and the service was easy.,positive
Everything worked smoothly — exactly as expected.,positive
Card payments is unstable — error messages nonstop.,negative
App login was quick and stable today.,positive
App is easy and fast lately.,positive
"App is lagging badly, can't get anything done.",negative
This is unacceptable: the error code explains nothing.,negative
online banking worked smoothly and the service was pleasant.,positive
Card payments is broken — error messages nonstop.,negative
Bill payment keeps failing; can't complete anything.,negative
App is smooth and reliable lately.,positive
Really happy with the bill payment experience.,positive
Getting repeated connection errors in the app.,negative
"Transfer is pending for hours, unacceptable.",negative
Online banking is down — error messages nonstop.,negative
"Can't see my recent transactions, broken.",negative
Customer service is taking forever to respond.,negative
Everything ran smoothly — no errors.,positive
Good experience setting up my account.,positive
The app is down — keeps timing out.,negative
"This is terrible: I tried reinstalling, still broken.",negative
Card replacement process was straightforward.,positive
Balance isn't updating and support isn't responding.,negative
Transfers keeps timing out; no clear guidance from support.,negative
Error message when trying to check balance.,negative
Getting errors all day; what's going on?.,negative
App is reliable and reliable lately.,positive
Support cleared my issue straight away.,positive
Login keeps failing and it's so frustrating.,negative
Support handled my issue in one call.,positive
Support cleared my issue in one call.,positive
Still lagging and I am losing patience.,negative
Support cleared my issue in one call.,positive
Card payments keeps timing out; really frustrating.,negative
Staff handled my request professionally.,positive
Payments are failing and it's stressful.,negative
Support fixed my issue straight away.,positive
customer support worked perfectly and the service was great.,positive
Card payments keeps freezing; making payments impossible.,negative
Really happy with the branch service experience.,positive
